Date,IBKR - HDB Accumulated Oriented Area
2021-02-01,0.00011830470688008535
2021-02-02,-7.63863813439394e-05
2021-02-03,-0.0001089201205908616
2021-02-04,-0.00016439879510022574
2021-02-05,-0.0003025527373217403
2021-02-06,-0.000301021633753144
2021-02-07,-0.0002994905301845511
2021-02-08,-0.00029723794325441934
2021-02-09,-0.0003627150232680252
2021-02-10,-0.0003060993150983762
2021-02-11,-0.00027436310673298585
2021-02-12,-0.00033929642042832486
2021-02-13,-0.0003377249398388033
2021-02-14,-0.00033615345924928157
2021-02-15,-0.00033458197865975916
2021-02-16,-0.00047192085178206157
2021-02-17,-0.0004607818737641378
2021-02-18,-0.0004857169984737314
2021-02-19,-0.0004637584931119726
2021-02-20,-0.00046226400239278616
2021-02-21,-0.0004607695116736006
2021-02-22,-0.0004277393414086169
2021-02-23,-0.00036321713166381753
2021-02-24,-0.0005034648663958416
2021-02-25,-0.00044117084257984135
2021-02-26,-0.00036037646722466383
2021-02-27,-0.00035902937912246267
2021-02-28,-0.0003576822910202604
2021-03-01,-0.000590143787189891
2021-03-02,-0.0005113297733782529
2021-03-03,-0.0005315520235617207
2021-03-04,-0.00046845137263827304
2021-03-05,-0.0004790106347783118
